desc,yt,wmp,cat,crit,word,noword
Barack Obama,obama,prsment,figure,mentioned or pictured,obama|the president |our president ,
George W. Bush,gwbush,gbush,figure,mentioned or pictured, bush ,
Ronald Reagan,rreagan,reagan,figure,mentioned or pictured,reagan,
John Boehner,boehner,gophse,figure,mentioned or pictured,boehner,
Nancy Pelosi,pelosi,demhse,figure,mentioned or pictured,pelosi,
Mitch McConnell,mcconnell,gopsen,figure,mentioned or pictured,mcconnell,
Harry Reid,reid,demsen,figure,mentioned or pictured, reid ,
Congress,congress,congmt,figure,mentioned or pictured,congress ,in congress|for congress|to congress
Democrats,democrat,democrats,figure,mentioned or pictured,democrats|and democrat|or democrat,
Republicans,republican,republicans,figure,mentioned or pictured,republicans|and republican|or republican| gop ,
Tea Party,teaparty,mention1,word,mentioned,tea party,
God,god,mention2,word,mentioned, god ,thank god
Hope,hope,mention3,word,mentioned, hope ,i hope|we hope
Change,change,mention4,word,mentioned, change ,
Experience,experience,mention5,word,mentioned,experience ,
Liberal,liberal,mention6,word,mentioned,liberal,
Conservative,conservative,mention7,word,mentioned,conservative,
Special Interest,specialinterest,mention8,word,mentioned,special interest,
Negative Campaigning,negativecampaign,mention14,word,mentioned,negative campaign|dirty campaign,
Main Street,mainst,mention15,word,mentioned,main street,
Wall Street,wallst,mention16,word,mentioned,wall street,wall street journal
Big Government,biggovernment,mention17,word,mentioned,big government,
Tax,tax,issue10,econ,mentioned,tax,
Deficit/Budget/Debt,deficit,issue11,econ,mentioned,deficit|budget|debt,
Government Spending,govspend,issue12,econ,mentioned,spending,
Recession/Stimulus/Bailout,recession,issue13,econ,mentioned,recession|stimulus|bailout,
Minimum Wage,minwage,issue14,econ,mentioned,minimum wage,
Farming,farming,issue15,econ,mentioned,farm|agricult,
Business,business,issue16,econ,mentioned,business,businessman
Union,union,issue17,econ,mentioned, union,
Employment/Jobs,job,issue18,econ,mentioned,jobs |create job|creating job|created job|lose job|losing job|lost job|kill job|killing job|killed job|job creat|job los|job kill|outsourc|employment|unemploy|out of job|back to work|job train,
Poverty,poverty,issue19,econ,mentioned,poverty,
Trade/Globalization,trade,issue20,econ,mentioned,trade|globaliz| nafta ,cap and trade
Housing/Subprime Mortgage,housing,issue21,econ,mentioned,housing|subprime|sub prime,
Economy,economy,issue22,econ,mentioned,economy|economic prosperity,
Inequality,inequality,issue23,econ,mentioned,unequal|inequal|equal pay,
Women's Health,abortion,issue30,soc,mentioned,abortion|pregnan|woman's right to choose|women's right to choose|reproductive right|pro choice|pro life|roe vs. wade|roe v. wade|roe vs wade|roe v wade|woman's health|women's health|birth control|contracept|planned parenthood,
Same-Sex Marriage/LGBT,lgbt,issue31,soc,mentioned,lgbt| gay|lesbian|transgender|same sex|marriage equality|traditional marriage|one man and one woman,
Moral Values,moral,issue32,soc,mentioned,honesty|integrity|moral|family value,
Tobacco,tobacco,issue33,soc,mentioned,tobacco|cigarette,
Affirmative Action,affirmativeact,issue34,soc,mentioned,affirmative action,
Gambling,gambling,issue35,soc,mentioned,gambling,
Euthanasia,euthanasia,issue36,soc,mentioned,euthanasia|assisted suicide,
Gun Control,guncontrol,issue37,soc,mentioned, gun|second amendment|2nd amendment|bear arms| nra ,
Civil Liberty,civilliberty,issue38,soc,mentioned,civil libert|freedom of speech|free speech|freedom of religion|freedom of faith|privacy,
Civil Rights,civilrights,issue39,soc,mentioned,civil right,
Crime,crime,issue40,law,mentioned,crime|criminals|violence|victim|predator,
Drug,drug,issue41,law,mentioned,drugs|drug addict|drug deal|drug lord|narcotic|marijuana|cocaine|heroin|opioid|opiate,prescription
Death Penalty,deathpen,issue42,law,mentioned,death penalty|capital punishment,
Judiciary,judiciary,issue43,law,mentioned,judicia|supreme court|courts,
Education,education,issue50,welfare,mentioned,educat|schools|tuition|affordable college|college affordable|college more affordable,
Lottery for Education,lotteryforedu,issue51,welfare,mentioned,lottery for education|education lottery,
Childcare,childcare,issue52,welfare,mentioned,childcare|child care|daycare|day care|care for your child|care for our child|care for your kid|care for our kid,
Healthcare,healthcare,issue53,welfare,mentioned,healthcare|health care|health insurance|medical insurance|obamacare|affordable care,
Prescription Drug,prescription,issue54,welfare,mentioned,prescription|prescription drug,
Medicare,medicare,issue55,welfare,mentioned,medicare,
Social Security,socsec,issue56,welfare,mentioned,social security,
Welfare,welfare,issue57,welfare,mentioned,welfare,
Military,military,issue60,defor,mentioned,military|troops|armed force|servicemember|service member|in uniform| war in | wars in ,
Foreign Policy,foreignpol,issue61,defor,mentioned,foreign policy,
Veterans,veteran,issue62,defor,mentioned,veteran| vet | va |world war|vietnam war,
Foreign Aid,foreignaid,issue63,defor,mentioned,foreign aid,
Nuclear Proliferation,nuclearprolif,issue64,defor,mentioned,nuclear proliferation|nuclear weapon,
China,china,issue65,defor,mentioned,china|chinese,
Middle East,middleeast,issue66,defor,mentioned,middle east,
Afghan,afghan,issue67,defor,mentioned,afghan,
September Eleven,septeleven,issue68,defor,mentioned,911 |9/11 |september eleven|nine eleven|september 11,
Terrorism,terror,issue69,defor,mentioned,terror|war on terror,
Iraq,iraq,issue70,defor,mentioned,iraq,
Israel,israel,issue71,defor,mentioned,israel,
Iran,iran,issue72,defor,mentioned,iran,
Environment,environ,issue80,environ,mentioned,environ| epa | cap and trade,
Global Warming,globalwarming,issue82,environ,mentioned,global warming|climate change,
Energy,energy,issue83,environ,mentioned,energy|power plant|keystone|pipeline|coal|petroleum|natural gas|solar|fracking,
BP Oil Spill,BPspill,issue84,environ,mentioned,oil spill,
Campaign Finance Reform,campfinanceref,issue90,other,mentioned,campaign finance|citizens united,
Government Ethics,govethics,issue91,other,mentioned,corrupt|government ethics|government scandal,
Corporate Fraud,corporatefraud,issue92,other,mentioned,corporate fraud,
Term Limit,termlimit,issue93,other,mentioned,term limit,
Pledge of Allegiance,pledgeofall,issue94,other,mentioned,pledge of allegiance|pledge allegiance,
Immigration,immigration,issue95,other,mentioned,immigra|alien|border|dream act|amnesty,
Local Issues,local,issue96,other,mentioned,local ,
Government Regulation,regulation,issue98,other,mentioned,regulation,
